村里,姓名,年齡,COUNTY_ID,TOWN_ID,VILLAGE_ID,OBJECT_ID
宜蘭縣宜蘭市南門里,林承蔡,47,10002,10002010,034,265
宜蘭縣宜蘭市負郭里,劉正田,73,10002,10002010,035,266
宜蘭縣宜蘭市民族里,游泳林,64,10002,10002010,036,267
宜蘭縣宜蘭市建軍里,潘茂申,67,10002,10002010,037,268
宜蘭縣宜蘭市復興里,謝瓊玉,59,10002,10002010,040,279
宜蘭縣宜蘭市思源里,曾南國,62,10002,10002010,038,277
宜蘭縣宜蘭市文化里,陳志鴻,38,10002,10002010,039,278
宜蘭縣宜蘭市神農里,賴春旺,81,10002,10002010,001,237
宜蘭縣宜蘭市民生里,張佑阡,74,10002,10002010,003,239
宜蘭縣宜蘭市昇平里,黃茂林,66,10002,10002010,004,240
宜蘭縣宜蘭市大東里,侯佩婷,43,10002,10002010,005,241
宜蘭縣宜蘭市新興里,方美珠,64,10002,10002010,006,242
宜蘭縣宜蘭市和睦里,黃文龍,51,10002,10002010,007,243
宜蘭縣宜蘭市民權里,尤榮淋,68,10002,10002010,002,238
宜蘭縣宜蘭市進士里,陳正達,49,10002,10002010,008,244
宜蘭縣宜蘭市南橋里,林慶雲,68,10002,10002010,009,245
宜蘭縣宜蘭市建業里,李永,68,10002,10002010,010,246
宜蘭縣宜蘭市南津里,林聰明,52,10002,10002010,011,247
宜蘭縣宜蘭市凱旋里,林松永,62,10002,10002010,012,218
宜蘭縣宜蘭市黎明里,林正義,60,10002,10002010,013,219
宜蘭縣宜蘭市東村里,林吉雄,67,10002,10002010,014,220
宜蘭縣宜蘭市延平里,林水蓮,56,10002,10002010,015,221
宜蘭縣宜蘭市七張里,林忠勝,55,10002,10002010,016,222
宜蘭縣宜蘭市慈安里,周阿通,77,10002,10002010,017,296
宜蘭縣宜蘭市新民里,張錫昇,66,10002,10002010,018,297
宜蘭縣宜蘭市東門里,李茂庚,67,10002,10002010,019,298
宜蘭縣宜蘭市中正里,邱明芳,47,10002,10002010,020,299
宜蘭縣宜蘭市小東里,黃建樹,71,10002,10002010,021,300
宜蘭縣宜蘭市菜園里,簡茂隆,61,10002,10002010,022,301
宜蘭縣宜蘭市孝廉里,吳健義,48,10002,10002010,023,302
宜蘭縣宜蘭市新生里,黃正雄,70,10002,10002010,024,303
宜蘭縣宜蘭市茭白里,林文雄,54,10002,10002010,025,304
宜蘭縣宜蘭市北津里,吳阿松,68,10002,10002010,026,305
宜蘭縣宜蘭市梅洲里,林沂棣,56,10002,10002010,027,258
宜蘭縣宜蘭市北門里,羅碧文,63,10002,10002010,028,259
宜蘭縣宜蘭市慶和里,陳棟樑,55,10002,10002010,029,260
宜蘭縣宜蘭市鄂王里,林銘信,61,10002,10002010,030,261
宜蘭縣宜蘭市西門里,郭永全,59,10002,10002010,032,263
宜蘭縣宜蘭市中山里,黃正次,70,10002,10002010,031,262
宜蘭縣宜蘭市大道里,王紹龍,54,10002,10002010,033,264
宜蘭縣羅東鎮開明里,莊添鐘,77,10002,10002020,028,273
宜蘭縣羅東鎮大新里,陳榮華,65,10002,10002020,004,280
宜蘭縣羅東鎮東安里,林枝松,75,10002,10002020,005,281
宜蘭縣羅東鎮新群里,林錦洋,57,10002,10002020,006,282
宜蘭縣羅東鎮羅莊里,楊川富,66,10002,10002020,007,283
宜蘭縣羅東鎮南昌里,林碧霞,56,10002,10002020,008,284
宜蘭縣羅東鎮南豪里,陳榮美,74,10002,10002020,009,285
宜蘭縣羅東鎮成功里,林聰文,58,10002,10002020,010,286
宜蘭縣羅東鎮仁德里,林啟東,54,10002,10002020,011,287
宜蘭縣羅東鎮仁和里,陳圳茂,66,10002,10002020,030,275
宜蘭縣羅東鎮中山里,許桂郎,70,10002,10002020,029,274
宜蘭縣羅東鎮漢民里,廖士謀,64,10002,10002020,016,288
宜蘭縣羅東鎮維揚里,江添其,74,10002,10002020,027,272
宜蘭縣羅東鎮西安里,林忠文,63,10002,10002020,017,289
宜蘭縣羅東鎮北成里,陳忠志,42,10002,10002020,018,290
宜蘭縣羅東鎮國華里,呂惠卿,44,10002,10002020,026,271
宜蘭縣羅東鎮賢文里,游本全,61,10002,10002020,019,291
宜蘭縣羅東鎮公正里,洪朝聰,78,10002,10002020,020,292
宜蘭縣羅東鎮集祥里,謝茂川,68,10002,10002020,021,293
宜蘭縣羅東鎮信義里,曾連枝,65,10002,10002020,022,294
宜蘭縣羅東鎮樹林里,林忠發,67,10002,10002020,025,270
宜蘭縣羅東鎮竹林里,黃永和,67,10002,10002020,023,295
宜蘭縣羅東鎮仁愛里,邱一峰,74,10002,10002020,024,269
宜蘭縣蘇澳鎮龍德里,張文金,48,10002,10002030,001,276
宜蘭縣蘇澳鎮頂寮里,林瑞芳,59,10002,10002030,002,367
宜蘭縣蘇澳鎮永榮里,陳信夫,70,10002,10002030,003,368
宜蘭縣蘇澳鎮存仁里,蕭阿添,65,10002,10002030,004,369
宜蘭縣蘇澳鎮港邊里,林茂松,57,10002,10002030,005,370
宜蘭縣蘇澳鎮岳明里,王傳達,70,10002,10002030,006,371
宜蘭縣蘇澳鎮隘丁里,張正榮,52,10002,10002030,007,372
宜蘭縣蘇澳鎮新城里,陳樹福,65,10002,10002030,008,373
宜蘭縣蘇澳鎮聖湖里,劉福元,65,10002,10002030,009,374
宜蘭縣蘇澳鎮蘇西里,楊光華,54,10002,10002030,010,306
宜蘭縣蘇澳鎮蘇北里,陳添琪,43,10002,10002030,011,307
宜蘭縣蘇澳鎮蘇南里,吳柏祺,58,10002,10002030,012,308
宜蘭縣蘇澳鎮蘇東里,藍蔚芬,61,10002,10002030,013,309
宜蘭縣蘇澳鎮長安里,張榴柱,69,10002,10002030,014,310
宜蘭縣蘇澳鎮永光里,劉金德,57,10002,10002030,015,311
宜蘭縣蘇澳鎮永春里,張盛國,52,10002,10002030,016,312
宜蘭縣蘇澳鎮永樂里,俞岸賓,56,10002,10002030,017,313
